name,category,price,color,liked,bag,image
Butterfly Haven,necklace,$10 ,multi,FALSE,FALSE,jewels/Butterfly_haven/210623804_183486513787415_1373609765957005849_n.jpg
Rainbow Bliss,necklace,$10 ,multi,FALSE,FALSE,jewels/Rainbow_bliss/210209552_507918010446179_6719985366649589749_n.jpg
Crystal Ball,necklace,$10 ,multi,FALSE,FALSE,jewels/Crystal_ball/210263388_3913798868730798_4043253617754866251_n.jpg
Floral Fairy,necklace,$9 ,multi,FALSE,FALSE,jewels/Floral_Fairy/211603515_397977354936776_4019466391074551540_n.jpg
Flower Power,necklace,$10 ,multi,FALSE,FALSE,jewels/Flower_Power/211822385_700205721378864_3764086347208302065_n.jpg
Pan Pride,necklace,$10 ,multi,FALSE,FALSE,jewels/Pan_Pride/210548237_508141023732455_1585122662171452884_n.jpg
Blue Quartz Crystal Ring,ring,$6 ,silver,FALSE,FALSE,jewels/Blue_Quartz_Ring/213218034_1141479893013439_90556596778023955_n.jpg
Crystal Rings,ring,$6 ,"silver,gold,bronze,black",FALSE,FALSE,jewels/Crystal_Rings/210885679_1470345619979654_4215377172452451891_n.jpg
Gemstone Collection,ring,$4 ,gold,FALSE,FALSE,jewels/Gemstone_Rings/213813841_821789238526211_1247773764113715837_n.jpg
Sunny Dayz Ring,ring,$16 ,"silver,gold",FALSE,FALSE,jewels/Sunny_Dayz_Ring/213771573_525238395343850_1740788840122696600_n.jpg
Evil Eyes Ring,ring,$10 ,gold,FALSE,FALSE,jewels/Evil_Eye_Rings/217411566_504753703939115_4998341742651280382_n.jpg
Zodiac Necklace,necklace,$16 ,silver,FALSE,FALSE,jewels/Zodiac_Necklaces/217406896_131841849089559_2553211430601283131_n.jpg
Fruit ring,ring,$4 ,multi,FALSE,FALSE,jewels/Fruit_Ring/219436845_522957632154555_4247788099935595639_n.jpg
Smile More,necklace,$12 ,silver,FALSE,FALSE,jewels/Summer_Smiles/220041663_2403824973095269_4885570860090357581_n.jpg
Obsidian Sun,necklace,$12 ,silver,FALSE,FALSE,a0e6262a52706e0caba6acd5b561d702fbc1fcd6.png
Smiley Face,necklace,$10 ,silver,FALSE,FALSE,jewels/Smiley_Face_Necklace254585872_268043632002930_9112419063534665441_n.jpg
Good vibes rings,ring,$5 ,multi,FALSE,FALSE,jewels/Smiley_face_and_Yin_and_Yang_adjustable_Rings/253629612_625204358505022_8214882797401670644_n.jpg
Gemstone Collection 2.0,ring,$5 ,gold,FALSE,FALSE,jewels/Gemstone_Rings/253826684_136767865366639_7004945510220391389_n.jpg
Celestial Quartz Necklace,necklace,$20 ,silver,FALSE,FALSE,jewels/Celestial_Quartz_Necklace/254983544_644441416933777_998160945858732592_n.jpg
Crystal,necklace,$10 ,silver,FALSE,FALSE,
Shooting stars ,earrings,$10 ,silver,FALSE,FALSE,
Pearl Choker,necklace,$12 ,silver,FALSE,FALSE,
Pearl Dangle,earrings,$10 ,silver,FALSE,FALSE,
Celestial ,earrings,$10 ,silver,FALSE,FALSE,
Dainty Crystal Rings,ring,$7 ,gold,FALSE,FALSE,
Beaded Adjustable Rings,ring,$5 ,multi,FALSE,FALSE,
Celestial Crystal Necklace,necklace,$14 ,silver,FALSE,FALSE,
Crystal Wrapped Necklace,necklace,$14 ,silver,FALSE,FALSE,
Silver Moon,necklace,$12 ,silver,FALSE,FALSE,
Beaded Necklace,necklace,$10 ,multi,FALSE,FALSE,
Crystal Sun Neclace,necklace,$12 ,gold,FALSE,FALSE,
Mystery Ring Pack,ring,"$12,$15,$18",multi,FALSE,FALSE,
Asteria's Stary Escape,earrings,$30 ,silver,FALSE,FALSE,
Aphrodite's Heart,earrings,$30 ,gold,FALSE,FALSE,
Selene's Lunar Night,earrings,$30 ,gold,FALSE,FALSE,
Euphoria Inspired Bracelets,bracelet,$12 ,silver,FALSE,FALSE,
Squiggle Rings,ring,$6 ,"silver,gold",FALSE,FALSE,
Flower power Adjustable Rings,ring,$6 ,multi,FALSE,FALSE,
Crystal Bracelets,bracelet,$10 ,multi,FALSE,FALSE,
Colorful Clutter Necklaces,necklace,$20 ,multi,FALSE,FALSE,
Caribbean Sun Necklace,necklace,$20 ,multi,FALSE,FALSE,
Braided Ring Collection,ring,$10 ,"silver,gold",FALSE,FALSE,
Sunburst Crystal Necklace,necklace,$30 ,gold,FALSE,FALSE,
Spiral Crystal Rings,ring,$20 ,"silver, gold",FALSE,FALSE,
Crystal Braided Rings,ring,$10 ,silver,FALSE,FALSE,
Laborate & Iridesent Braided Ring,ring,$10 ,silver,FALSE,FALSE,
Malachite Butterfly Earrings,earrings,$16 ,silver,FALSE,FALSE,
Malachite Spiral Earrings,earrings,$14 ,silver,FALSE,FALSE,
Neutral Ring Bundle,ring,$32 ,gold,FALSE,FALSE,
Spiral Crystal Adjustable Rings,ring,$10 ,gold,FALSE,FALSE,
Taylor Swift Necklace,necklace,$24 ,"silver,gold",FALSE,FALSE,
Olivia Necklace,necklace,$20 ,silver,FALSE,FALSE,
Ashlyn Necklace,necklace,$20 ,gold,FALSE,FALSE,
Beaded Clutter Necklace,necklace,$20 ,gold,FALSE,FALSE,
